issue_id,issue_description,priority_score
48,"Payments were sent for ""brokerage"" services with no licensed broker documentation provided.",70
49,Outgoing wires included beneficiary addresses that did not match registry records for the receiving entities.,78
50,"Customer’s explanation for funds來源 referenced ""business partners"" without names or supporting agreements.",68
51,A non-profit account received transfers that were largely repaid to private individuals without clear program linkage.,85
52,Cross-border payments included fees and taxes that were inconsistent across otherwise similar invoices.,50
53,A customer requested payment to an account held in a different country with no stated operational need.,65
54,"Multiple transfers were executed with the same narrative but different amounts, suggesting templated invoice references.",78
55,A customer attempted to add new beneficiaries after prior transactions were returned due to compliance holds.,82
56,"Incoming payments were accompanied by remittance text indicating ""samples"" though amounts were substantial.",78
57,"Chargeback patterns suggested possible friendly fraud, with disputes concentrating on specific merchants.",58
58,The account received funds from a payer that had recently changed its own business registration details.,52
59,A corporate account experienced sudden activity after a dormant shell period without narrative change.,82
60,Customer provided source-of-funds documentation that did not cover the full time period of recent deposits.,66
61,Payments were issued to agents with no agency agreement on file and no evidence of services performed.,85
62,A beneficial owner requested funds be distributed immediately after receipt despite requests for delays due to controls.,80
63,Transactions referenced educational services but were paid to multiple unrelated recipients without enrollment evidence.,78
64,A customer’s transaction profile became inconsistent with their prior behavior following account updates and re-verification.,65
65,"Outgoing transfers were made shortly after receiving unrelated inbound funds, indicating possible layering behavior.",88
66,Customer provided an expired identification document during onboarding and requested it be re-dated without resubmission.,45
67,A series of cash deposits were structured to avoid the bank’s standard reporting limit over several weeks.,95
68,Incoming payments were sent from multiple unrelated payers who could not be tied to the customer’s stated business activity.,78
69,Customer stated funds came from a sale of goods but invoices lacked dates and tax details.,65
70,Beneficial ownership form listed a nominee arrangement with no supporting explanation for control.,72
71,Card transactions showed repeated declines followed by a switch to a different merchant category without a clear business rationale.,60
72,Wire transfers to a foreign country increased after the customer declined to provide source-of-funds documentation.,85
73,The customer’s declared occupation did not align with the scale of transfers moving through the account.,70
74,Payments described as consulting services did not match the customer’s provided contract documentation.,78
75,A third party repeatedly requested beneficiary changes shortly before outgoing transfers were executed.,95
76,Customer attempted to update the bank details for payouts several times while refusing to confirm the final payee.,67
77,Company accounts received payments from entities sharing the same address as the customer’s former business entity.,72
78,Funds were routed through a transit account in another country despite no stated trading relationship.,88
79,Customer provided a document pack with inconsistent letterheads and varying formatting across pages.,82
80,Large international transfers were paired with rapid withdrawals to cash in the same business day.,93
81,A pattern of remittances was observed with the recipient linked to prior sanctions screening hits in public records.,95
82,The customer’s website and business registration references did not match the legal entity name on the account.,75
83,Outward payments referenced “commission” but the customer could not provide any agency or brokerage agreement.,70
84,Multiple refunds were processed back to the original funding accounts without supporting order records.,78
85,A low-turnover account received intermittent high-value payments followed by immediate transfers to external beneficiaries.,82
86,"Customer requested suppression of certain transaction fields, citing privacy concerns related to business partners.",30
87,"Correspondent banks asked for additional documentation on transfers described as “settlement,” but responses were incomplete.",55
88,A beneficial owner’s address was shared with other customers in the same building with no explanation of ties.,60
89,Transactions coincided with a change in ownership where the customer could not provide transaction-related contracts.,75
90,The customer’s tax residency claim differed from the billing address used for online merchant payments.,50
91,A supplier onboarding used matching phone numbers across multiple entities with different legal names.,76
92,Customer used a personal account to receive payments for multiple unrelated business invoices.,71
93,Outgoing transfers listed generic descriptions that obscured the underlying purpose of payment.,68
94,A high frequency of small e-money top-ups was followed by consolidated outbound wires to a single destination.,89
95,Customer’s declared net worth did not support the funds movement observed over a short period.,83
96,A close family member requested the account be converted to third-party access without providing legal documentation.,58
97,Sanctions screening flagged a counterparty name match that the customer later tried to bypass using an alternate spelling.,95
98,Payments were made to a shell-like intermediary with no website presence and no verifiable operational footprint.,85
99,Customer provided a shipping document that listed a different consignee than the account holder.,68
100,A “loan repayment” narrative was used for transfers that were not supported by any loan agreement.,82
101,Account activity showed repeated reversals and chargebacks that aligned with the same set of merchants.,65
102,Two accounts under different individuals exchanged funds in a circular pattern with no apparent economic rationale.,85
103,The customer requested cash withdrawals immediately after receiving a foreign inbound transfer.,78
104,"Inconsistent dates appeared on compliance forms, with the customer asserting the discrepancies were clerical.",70
105,"Customer stated payments were for “software licenses,” yet invoices referenced unrelated services.",72
106,A senior decision-maker role was claimed without evidence in corporate records while payments continued to expand.,80
107,Beneficial owner information was updated using documents that could not be authenticated through standard checks.,85
108,The customer’s relationship manager noted that the customer avoided discussing contract terms and counterparties.,70
109,A set of transfers were sent to jurisdictions associated with higher risk procurement practices without supporting trade documentation.,88
110,"Customer used multiple payment channels for the same counterparties, with descriptions varying materially between transfers.",84
111,A trade finance request was supported by invoices that shared identical line items and text across separate shipments.,80
112,The customer attempted to route payments through a different legal entity after initially failing customer due diligence.,88
113,Funds from an inbound “investment” were immediately redistributed to related entities with no clear investment returns.,85
114,The account received payments labeled “salary” despite the customer not maintaining payroll arrangements.,70
115,Customer provided proof of income that did not correspond to bank statements showing different turnover levels.,65
116,Merchant activity included transactions to vendors that were registered shortly before the payments began.,70
117,A counterparty requested payments to be split across several beneficiaries that ultimately traced back to the same receiving location.,88
118,Customer changed the expected payment purpose from retail sales to cross-border services without updating documentation.,64
119,"A complaint record indicated prior disputes on outbound transfers, yet similar transaction patterns continued.",73
120,Customer used an agent to submit documents and the agent could not provide a clear authorization letter.,59
121,The account was credited by a third party shortly after rejecting the same payer in an earlier screening check.,78
122,Large inbound transfers were followed by purchase of high-value goods through unrelated merchants with cash-like patterns.,83
123,Customer submitted incomplete KYC documents and requested expedited account activation via a third party.,72
124,Incoming payments were structured as multiple smaller transfers with identical references from the same origin.,92
125,A payment narrative referenced invoices that could not be verified against supporting documents.,71
126,Customer changed beneficial ownership details shortly after receiving settlement instructions.,75
127,Transfers were sent to a cross-border beneficiary in a sanctioned-region country with no clear trade linkage.,95
128,"Customer stated funds were for consulting but provided no contract, scope, or deliverables.",65
129,Multiple cash deposits were followed by immediate outbound transfers to unrelated intermediaries.,85
130,A business customer used a personal account for salary-like payments and refused to clarify payroll basis.,72
131,Beneficial owner information did not match the address and phone details used during onboarding.,68
132,Transaction monitoring flagged repeated round-dollar amounts inconsistent with the customer’s typical activity.,82
133,Customer requested refunds to a different card than the one used for the original purchase.,58
134,Payments to a logistics provider were rerouted through another entity without explanation.,80
135,Customer could not describe the nature of goods and relied on generic terms for each transaction.,76
136,Outbound wires were authorized by a user profile that lacked prior history of approving similar activity.,75
137,Funds originated from a high-risk remittance channel and were quickly dispersed to new recipients.,88
138,A customer provided statements showing cash withdrawals just before large inbound transfers.,70
139,The transaction purpose field cited “service fees” while amounts corresponded to scheduled vendor invoices.,68
140,"Beneficiary bank details were repeatedly corrected, suggesting uncertainty in destination information.",62
141,Customer account showed frequent use of prepaid cards to fund transfers with no consistent spending pattern.,75
142,A payment was made to a counterparty newly incorporated with no supporting relationship documentation.,70
143,Customer requested termination of correspondence instructions after being asked for additional source-of-funds evidence.,80
144,Parties involved in several payments shared overlapping addresses and contact numbers that were not declared as related.,85
145,Incoming transfers used slightly altered names for the same counterparty across different days.,92
146,A web of round-trip transfers returned funds to an account controlled by a related custodian.,92
147,Customer reported losses due to purchase disputes yet continued to route proceeds to the same intermediary.,78
148,A trade payment included an unusually high “inspection fee” with vague descriptions and no contract addendum.,80
149,Beneficial owner’s occupation changed materially after account opening without updated documentation.,50
150,Payments were made through a shell-like entity with no website presence and minimal recorded staff.,88
151,The customer attempted to move funds to a new account after compliance requested enhanced checks.,80
152,A series of international transfers used inconsistent currency conversions without documented basis.,78
153,Customer provided source-of-funds as “savings” but could not evidence the accumulation timeline.,65
154,A beneficiary requested payments to be split across multiple accounts held at different branches.,82
155,Customer refused to provide end-customer information for a goods transaction involving a restricted industry.,90
156,Outgoing transactions showed repetitive invoice numbers that did not align with documented invoices.,78
157,A check deposit was followed by rapid transfer activity within the same business day.,85
158,The account received funds from multiple accounts bearing similar transliterations of the same name.,75
159,A supplier’s bank account had previously appeared in a dispute but was used again without clarification.,55
160,Customer increased payment volume after declining to update KYC contact details.,72
161,Transactions involved a residency mismatch where the customer claimed residence abroad but maintained local address proof.,55
162,A payment referenced a government agency but lacked any invoice or engagement letter for that purpose.,50
163,Customer changed signatory authority and provided documentation inconsistent with prior records.,78
164,Funds were transferred to a high-risk country shortly after a refusal to disclose beneficial owners.,95
165,Several payments were marked “urgent delivery” and lacked any supporting shipping documentation.,62
166,Customer requested that refunds be processed in cash despite using electronic payments originally.,60
167,The transaction narrative cited “contract settlement” but the contract document was unsigned.,80
168,A customer’s stated business line did not match the typical industries of counterparties receiving payments.,65
169,Multiple chargebacks were followed by replacement payments to the same merchant using a new method.,78
170,Beneficiary details included a non-matching postal address relative to the provided incorporation documents.,70
171,A series of payments were executed through an intermediary with no declared ownership or contracting role.,78
172,Customer provided a generic web form confirmation instead of actual invoices for reimbursement.,72
173,Inbound funds were deposited from accounts held by individuals with no disclosed relationship to the customer.,80
174,Outbound transfers targeted accounts with differing surnames but shared identical dates of birth in records.,86
175,Customer’s online purchase pattern showed sudden spikes aligned with attempted cash-out transfers.,88
176,A correspondent request was denied due to incomplete compliance fields that were later corrected.,25
177,Funds moved to a charity-stated beneficiary but subsequent documentation showed no charitable purpose agreement.,78
178,Customer requested payments to be routed through a new bank after being questioned about sanctions screening.,92
179,A business account showed repeated payments to a consultant whose invoice templates matched other counterparties.,72
180,Transactions included country codes inconsistent with the declared shipment origin for the same goods batch.,77
181,Customer insisted on paying a third party instead of the named vendor despite providing the vendor details.,65
182,A series of small inbound transfers were used to fund one large outgoing wire within a day.,88
183,Customer’s source-of-wealth statement referenced assets that were not reflected in account activity records.,72
184,"A transfer was labeled as “loan repayment” but lacked loan terms, schedule, or promissory documentation.",68
185,Beneficiary bank correspondence records showed frequent instruction changes close to settlement dates.,80
186,Multiple payments were made using nearly identical amounts across different currencies without hedging rationale.,80
187,Customer requested to remove a previously declared beneficial owner from onboarding records.,85
188,Funds were received for “marketing services” but the customer could not produce campaign metrics or contracts.,65
189,Customer submitted inconsistent employment details during onboarding and could not provide supporting documentation.,55
190,Multiple cash deposits were made on consecutive days just under the internal review limit.,95
191,A customer requested frequent withdrawals of large round amounts despite low stated income.,78
192,Payments were routed through an intermediary in a jurisdiction that does not align with the customer’s stated business activities.,74
193,Beneficial ownership information provided earlier was later corrected without a clear explanation.,88
194,Transaction narratives described generic goods while invoice details were missing or incomplete.,66
195,"Sanctions screening flagged a counterparty name similarity, and the customer declined to provide alternate spelling details.",92
196,The customer provided a foreign address but the source of funds documentation referenced a different country.,55
197,A vendor account received payments that were immediately followed by transfers to unrelated parties.,85
198,Customer used multiple cards to fund a single account wallet within a short time window.,70
199,"Wire transfers were sent to locations matching prior rejected AML checks, citing “administrative delay.”",95
200,An entity’s corporate address could not be verified through available public records.,50
201,The customer requested payment reversals after funds were sent to a third party without an original invoice.,75
202,Incoming transfers from several counterparties were consolidated into one outward payment chain.,78
203,KYC refresh showed the customer’s industry category changed materially without supporting rationale.,52
204,Large payments were scheduled to coincide with contract award dates without corresponding contractual documentation.,86
205,A high-volume pattern of small transfers lacked clear commercial purpose based on available statements.,82
206,The customer’s stated beneficial owner was reportedly a nominee with no ownership stake disclosed elsewhere.,75
207,Transfers included unusual “consulting” descriptions while supporting documentation referenced manufacturing components.,78
208,A sudden increase in cross-border payments occurred after a long period of inactivity with no onboarding update.,72
209,Customer declined to identify the end beneficiary despite requests tied to intermediary routing.,85
210,Funds were withdrawn in cash immediately after deposits made through third-party branches.,92
211,A counterpart’s tax ID format did not match the country of incorporation shown in onboarding documents.,55
212,The same payment reference was reused across multiple invoices with differing amounts.,68
213,A customer attempted to pay via an account held under a different individual than the contract signatory.,62
214,Sanctions screening results remained unresolved because the customer did not respond to information requests.,85
215,Payments were directed to a brokerage account shortly after beneficial owner changes were recorded.,95
216,Company documents showed no history of trading activity despite receiving frequent high-value transfers.,75
217,Customer’s website claims did not match the goods described in transaction records.,78
218,A third-party payer sent funds and then asked for return transfers to an account in another country.,88
219,"Customer provided a late explanation for source-of-funds, citing “family support” without documentation.",65
220,Transaction counterparties were linked to each other through shared addresses and repeated payment references.,80
221,An individual customer used business-purpose payment channels while personal KYC data remained unchanged.,50
222,Invoices referenced ports and delivery terms inconsistent with the payment’s stated currency and destination.,68
223,Multiple payments were made to the same supplier from different payer accounts in a coordinated manner.,85
224,The customer requested that outgoing payments be made in the name of a different company on several occasions.,78
225,"A correspondent bank returned funds due to missing beneficiary details, and the customer re-submitted without changes.",58
226,The business claimed to operate a service line but transactions reflected recurring equipment purchases.,55
227,Beneficial owner identity documents were replaced with newer scans after a compliance inquiry.,80
228,A customer structured deposits and transfers to limit exposure to monitoring thresholds based on timing patterns.,95
229,Outbound payments used slightly altered beneficiary names that were not consistent with prior records.,85
230,A credit line was drawn and repaid rapidly using funds from unrelated counterparties.,78
231,A customer involved in government procurement requested payments to be routed to non-local entities.,82
232,Payments were labeled as “legal fees” but lacked engagement letters or timesheets.,86
233,Customer’s declared annual revenue did not align with the magnitude of monthly incoming transfers.,75
234,The customer’s stated business address matched a mailing-only location with no evidence of operations.,56
235,A transfer to a “freight” account was followed by immediate onward movement to another jurisdiction.,90
236,Multiple chargeback-like payment disputes were raised for transactions involving non-standard payment terms.,65
237,The customer’s role in the company was inconsistent across submitted forms and signatory authority records.,72
238,Funds arrived from accounts that were recently opened and then were quickly transferred outward.,88
239,A counterparty relationship was newly formed and became the sole destination for sizable funds.,90
240,The customer provided a beneficial owner relationship explanation that conflicted with corporate filings.,82
241,A payment chain included layered intermediaries with no clear commercial rationale based on documentation.,90
242,"Customer requested to bypass standard invoice verification citing “routine processing,” and refused to provide invoices.",75
243,A person with no prior transaction history received large inbound transfers from multiple entities.,80
244,Sanctions screening cleared initially but later refreshed screening flagged the same counterparty for name matching.,92
245,A company shared bank account details associated with a different corporate registration number.,68
246,The customer used an unusual payment method for cross-border settlement inconsistent with its business model.,68
247,Large transfers were made for “marketing” while transaction descriptions and receipts appeared generic.,84
248,Customer requested transfers to a private residence-associated beneficiary account without contractual basis.,86
249,A rapid series of inbound and outbound transactions suggested funds being moved rather than earning revenue.,88
250,Customer provided inconsistent business descriptions across onboarding and subsequent reviews.,72
251,Transactions routed through multiple third parties without clear economic rationale.,82
252,Cash deposits increased materially after account ownership changes with no supporting documentation.,86
253,Beneficial owner declarations were updated shortly before making large outbound transfers.,89
254,Card payments were made repeatedly to similar merchant descriptors with unusual geographic spread.,71
255,Customer declined to provide invoices supporting payments for imported goods.,76
256,Two incoming transfers originated from unrelated entities despite stated customer consolidation practice.,71
257,Payments referenced invoices that appear duplicated across different counterparties.,86
258,Customer’s stated occupation does not align with the source of funds narrative.,64
259,Outbound wires were structured to align with internal reporting cutoffs over several weeks.,97
260,Correspondent banking messages lacked complete beneficiary address details for some transfers.,69
261,A customer account showed rapid in-and-out movement with minimal retained balance.,82
262,Trade-related payments were submitted without shipping documents within the review window.,78
263,Counterparty requested payments to an alternate bank outside the contract terms.,70
264,Multiple refunds were processed back to the same funding cards shortly after initial charges.,67
265,Customer used a series of newly added payees and then requested immediate transfers.,74
266,One-time use virtual card funding ceased soon after chargebacks increased.,55
267,Customer stated they would not disclose beneficial ownership until after contract signing.,80
268,Payments to a foreign entity increased immediately following a change in company directors.,75
269,Account activity shifted from low value to frequent high value after a change in device/location.,85
270,Customer provided a photo-only proof of address with expired validity.,45
271,A pattern of round-dollar transfers was observed with no consistent underlying invoices.,78
272,Sales invoices showed mismatched VAT/consumption tax details compared to payment records.,72
273,Wire instructions included minimal remitter information and generic payment descriptions.,74
274,Customer sought to reverse completed transfers citing “routing errors” without evidence.,55
275,Several transfers were sent to accounts registered in jurisdictions identified for elevated sanctions risk.,97
276,A merchant category mix suggested personal spending despite stated business use.,55
277,"Customer requested beneficiary name changes after funds were released, creating identification gaps.",78
278,Cash withdrawals increased while declared income did not support the activity level.,82
279,Customer used intermediaries to move funds between accounts under different ownership profiles.,88
280,Transactions referenced “consulting” services without contracts or deliverables in file.,74
281,Incoming funds were quickly converted and redistributed without a documented business purpose.,84
282,Customer’s website and business address could not be verified as matching the onboarding information.,66
283,"Beneficial ownership screening flagged potential matches, but customer documentation did not resolve discrepancies.",89
284,Payments were made to a counterparty with a history of compliance findings in public records.,77
285,A large transfer followed an email instruction that omitted standard contract identifiers.,82
286,Customer conducted frequent cross-border purchases despite no prior import activity.,68
287,Multiple small transfers were sent from different persons to the same recipient with linked timing.,80
288,Customer refused to provide explanations for payments to shell-like entities with no web presence.,85
289,Card acquisition activity showed repeated transactions with similar amounts across different countries.,78
290,Wire transfers were sent to a beneficiary account that does not match the stated entity name.,82
291,"Customer’s source of funds statement cited savings, but deposits came from third-party remitters.",72
292,Account showed unusual settlement of obligations through personal accounts rather than company accounts.,80
293,"Correspondent bank returned messages due to incomplete information, but resubmissions continued.",58
294,Customer submitted altered invoices with inconsistent dates compared to underlying orders.,92
295,A pattern of payments ended immediately after a compliance notice was logged in the system.,88
296,"Beneficiary was designated as an agent, yet customer provided no agency agreement or authority evidence.",60
297,Customer requested payment in a manner that would obscure the transaction purpose from the beneficiary.,80
298,Payments were made to businesses with overlapping directors and unclear separation of commercial activity.,70
299,Multiple transfers were made to counterparties using slightly varied spellings suggesting identity obfuscation.,88
300,"Customer’s stated funds came from a loan, but supporting documents lacked lender verification.",75
301,Cash deposits were followed by rapid bill payments that exceeded declared utility expenses.,82
302,Outbound payments included references to “freight” while trade documentation indicated services were not shipping-related.,85
303,Customer provided a signed declaration but could not answer basic questions about submitted financials.,68
304,Transfers to a foreign entity increased after the customer became the sole signatory on the account.,80
305,"A customer made payments to multiple recipients shortly after receiving salary, despite claims of minimal activity.",74
306,Customer sought to close the account soon after a series of complex multi-hop transfers.,70
307,Account activity resumed after a dormancy period with transfers inconsistent with prior behavior.,60
308,Customer attempted to add a high-risk jurisdiction beneficiary using documentation that appeared copied.,92
309,Merchant disputes increased while customer continued to fund similar transactions using new instruments.,80
310,"Customer requested to split payments across separate accounts to “match internal budgeting,” with no invoices.",72
311,Incoming remittances were from entities with no stated relationship to the customer’s business.,75
312,A foreign payment request cited vague descriptions and did not include contract numbers or references.,80
313,Customer’s beneficial owner profile changed twice within a short timeframe without clear rationale.,85
314,Customer provided inconsistent information about business activity and principal owners during onboarding.,70
315,Payments were structured to avoid a common reporting threshold across multiple transfers.,95
316,Beneficial ownership documentation was missing for a company that requested immediate transaction access.,78
317,A customer declined to provide source of funds details while increasing transfer volumes.,85
318,Multiple inbound payments originated from unrelated third parties with no clear commercial rationale.,82
319,Transactions were routed through layered accounts with rapid in-and-out movement of funds.,97
320,Customer requested conversion to cash shortly after receiving international transfers.,86
321,The stated purpose of payments did not match the goods or services described in invoices.,85
322,Correspondent banking notes indicated the counterparty operated in a higher-risk region.,75
323,A payment referenced vague terms like “consulting” without supporting contracts or deliverables.,80
324,Customer changed addresses and contact information repeatedly within a short onboarding window.,78
325,Sanctions screening flagged a match that could not be resolved due to insufficient identifiers.,95
326,A politically exposed person reportedly used a nominee account to receive funds for “rent.”,95
327,Customer attempted to add new beneficiaries without providing expected supporting documents.,55
328,Large transfers were made shortly after account activation despite limited transaction history.,78
329,Customer requested beneficiary bank details but avoided providing the counterparty’s full legal name.,66
330,Incoming funds were immediately returned to the same sender through a different intermediary.,82
331,Trade finance documents showed mismatched shipment routes and inconsistent dates.,82
332,A customer’s activity profile suggested personal spending but accounts were labeled as business.,55
333,Payment descriptions included penalties and repayments with no related loan documentation.,68
334,Customer provided a bank statement that appeared incomplete and missing key pages.,85
335,A pattern of transactions used alternating currencies with unusual FX timing versus invoices.,80
336,Counterparty refused to share contract terms but requested payment in advance.,52
337,Beneficiary所在 jurisdiction differed from declared delivery location on accompanying documents.,58
338,A cash withdrawal request exceeded typical behavior soon after a sudden salary change claim.,79
339,Inquiries from investigators were met with generic responses and no itemized transaction breakdown.,73
340,Transactions involved multiple shell-like entities with similar directors and overlapping addresses.,92
341,Beneficiary contact numbers could not be verified and emails bounced during due diligence.,55
342,A customer instructed transfers to a location that differed from the contract’s stated site.,75
343,Inbound wire identifiers did not align with customer-provided remitter information.,78
344,The customer asserted funds were from savings but could not provide corroborating evidence.,50
345,A series of small card-to-wire movements suggested attempts to obscure fund origin.,88
346,Trade invoice values were repeatedly adjusted upward after initial submission.,78
347,Sanctions screening returned potential indirect match via shared corporate identifiers.,86
348,Customer requested payment be split across several banks under the same beneficial owner.,82
349,A charity-related account conducted payments inconsistent with stated charitable mission.,75
350,Corporate documents showed signs of formatting changes and lacked verifiable issuing authority marks.,92
351,Customer used third-party funds to settle expenses without providing agreement or authorization.,64
352,Payments were sent to a beneficiary with a history of compliance issues flagged internally.,82
353,A customer’s industry classification did not correspond to the merchant descriptors on transactions.,58
354,Multiple transfers were made to the same beneficiary after previously disputing invoices.,66
355,Beneficiary was listed as a reseller but no inventory or sales records were provided.,71
356,An account showed frequent beneficiary changes concurrent with blocked sanctions inquiries.,90
357,Customer claimed employment income but transfers exceeded typical salary ranges.,75
358,A refund flow was used to reverse transactions to non-invoice-related recipients.,80
359,The customer avoided discussing relationships between counterparties and intermediaries.,70
360,A merchant account received payments from many unrelated senders with no matching invoices.,85
361,A customer asked for manual overrides to bypass standard transaction checks.,82
362,Transactions showed round-number amounts and consistent timing suggestive of automation.,76
363,Counterparty provided documentation in a language not used in prior filings without explanation.,52
364,A PEP-related entity requested beneficial ownership to be treated as “confidential” with no legal basis.,95
365,Customer attempted to increase limits through repeated incomplete KYC submissions.,71
366,Correspondent bank requested additional documentation due to insufficient transaction narrative clarity.,25
367,Payments referenced “loan repayment” but no promissory note or repayment schedule was provided.,55
368,A business account began receiving proceeds just after a contract award claim with no evidence.,70
369,Customer used multiple personal accounts to funnel funds into a single corporate account.,85
370,Trade shipment documents listed a consignee that differed from the invoiced buyer.,85
371,Incoming funds were followed by immediate withdrawals through different branches.,88
372,A customer requested payments to a deceased person’s account without updated estate documentation.,72
373,An AML alert was raised due to customer’s inability to explain business purpose for transfers.,80
374,Beneficial owner residency changed without supporting immigration or tax documentation updates.,66
375,A counterparty’s website content appeared recently created and unrelated to declared operations.,67
376,Customer requested structured cash deposits across separate branches at irregular intervals.,92
377,A supplier payment was made to a company with no prior transaction history or online presence.,75
378,Transactions were conducted with entities incorporated shortly before the business relationship began.,70
379,A customer provided contradictory statements regarding expected transaction frequency and volume.,58
380,A customer requested to use a nominee signature for authorization with no delegation letter.,82
381,A payment was sent to a beneficiary in a sanctioned-linked sector despite screening clearance gaps.,96
382,Chargeback activity increased while the customer refused to provide underlying fulfillment evidence.,78
383,Multiple transfers were performed through intermediaries with common directors and shared addresses.,84
384,A corporate account displayed inconsistent signatory usage not aligned with board resolutions.,72
385,Customer requested settlement to a bank account not matching the declared beneficiary in contracts.,70
386,The remitter narrative cited “family support” while transaction amounts resembled commercial payments.,63
387,A customer’s KYC review found unverifiable documents and mismatched registration numbers.,80
388,Trade documents indicated partial shipment but payment terms implied full delivery confirmation.,76
389,A customer attempted to conceal counterparties by using generic description fields on wires.,84
390,A new beneficiary was added and funded immediately after onboarding with no supporting due diligence.,86
391,Customer deposited cash in amounts that cluster around reporting thresholds without a clear business rationale.,85
392,A series of small outward transfers were sent to the same beneficiary after changes in the customer’s stated occupation.,72
393,Customer provided inconsistent explanations for the source of funds during onboarding and subsequent reviews.,68
394,Payments to a correspondent in a sanctioned-related country were processed despite missing end-use details.,95
395,Beneficial ownership documentation was updated twice within a short period with no supporting narrative.,66
396,A new vendor received multiple payments soon after contract activation with limited documentation on services delivered.,72
397,Customer’s transaction pattern changed abruptly from retail spending to frequent high-value card settlements.,78
398,Wire instructions included vague references such as “consulting” with no invoices or statements attached.,88
399,Two accounts under the same controller were used to split payments for a single underlying obligation.,90
400,Customer requested reimbursement to a different bank account than the original payer without clarification.,74
401,Outgoing transfers matched inbound credits from the same remitter within the same business day.,30
402,Customer could not identify the purpose of a large transfer during a call-back request.,68
403,A charity-like entity conducted transactions inconsistent with its stated nonprofit activities.,82
404,Cash withdrawals increased materially following deposits tied to third-party remitters.,85
405,Transactions routed through an intermediary that could not be located in public business registries.,78
406,Customer attempted to add a new payee using altered beneficiary details that were later corrected.,45
407,A merchant showed rapid surges in card charge volume followed by reversal activity and dispute clustering.,82
408,Customer used multiple prepaid instruments to fund a single settlement account with similar naming conventions.,78
409,Payments were made to overseas recipients shortly after the customer’s address was updated.,72
410,The declared business model did not align with the payment types received from several unrelated parties.,67
411,A supplier payment was approved after the invoice description was revised to remove references to restricted goods.,88
412,Customer’s beneficial owner was listed as a holding entity with no transparency on downstream control.,78
